sampler, description
gTAmbBRDF,
gTBackFaceDepth,
gTDiffuseIBL,
gTPREM,
gTToonDarkGrad, monolib/shader/toon_grad_night.witex
gTToonGrad, monolib/shader/toon_grad.witex
s0, material texture 0
s1, material texture 1
s2, material texture 2
s3, material texture 3
s4, material texture 4
s5, material texture 5
s6, material texture 6
s7, material texture 7
s8, material texture 8
s9, material texture 9
s10, material texture 10
s11, material texture 11
texAO,
texCap1,
texDep,
texDither,
texFlagWave0,
texFlagWave1,
texLgt,
texMov0,
texRef,
texRfr,
texRfrAft,
texShadow,
volTex0,
